Train_type,Train_name,Train_no,block_no,IB(boolean),ETA_NS,ETA_DS,current_speed,DFNS,current delay,dwell time,time_delay,block_len,Approaching_block_no,advance_block_no,running_status(bool),halt_station,PF_no,Station_name,Total_platforms,free_platforms,starter_signal,home_signal,block_type,block_status,adv_starter_signal(bool)
Vande Bharat,Train_21622,21622,182,False,2025-09-11 10:12:00,2025-09-11 13:26:00,57,6.5,65,30,14,1344,183,184,True,STN_38,9,STN_38,11,0,True,True,Loop,Under_Maintenance,True
Vande Bharat,Train_18797,18797,18,True,2025-09-11 10:34:00,2025-09-11 13:16:00,57,11.06,37,47,34,2036,19,23,True,STN_32,7,STN_32,10,6,False,False,Yard,Under_Maintenance,False
Shatabdi,Train_20017,20017,24,False,2025-09-11 10:25:00,2025-09-11 15:13:00,59,8.21,0,57,56,2398,25,26,False,STN_4,3,STN_4,3,1,False,False,Main,Occupied,False
Passenger,Train_16583,16583,85,False,2025-09-11 10:01:00,2025-09-11 12:58:00,70,12.03,23,74,18,1592,86,87,False,STN_49,10,STN_49,12,12,False,True,Main,Free,True
Rajdhani,Train_15559,15559,136,False,2025-09-11 10:08:00,2025-09-11 12:26:00,67,0.6,74,74,52,1269,137,137,False,STN_24,2,STN_24,12,10,False,False,Yard,Under_Maintenance,True
Superfast,Train_15868,15868,172,False,2025-09-11 10:01:00,2025-09-11 11:59:00,63,8.51,45,44,15,1798,173,177,True,STN_47,2,STN_47,4,4,True,True,Loop,Under_Maintenance,True
Shatabdi,Train_18018,18018,11,False,2025-09-11 10:13:00,2025-09-11 11:43:00,67,8.26,28,53,58,2293,12,12,False,STN_1,4,STN_1,5,1,False,True,Loop,Occupied,True
Rajdhani,Train_12992,12992,66,False,2025-09-11 10:10:00,2025-09-11 11:40:00,74,13.2,0,91,58,1015,67,71,False,STN_44,6,STN_44,9,8,False,False,Yard,Occupied,False
Passenger,Train_15109,15109,132,False,2025-09-11 10:48:00,2025-09-11 13:12:00,81,10.68,55,141,2,1149,133,135,False,STN_16,2,STN_16,4,3,True,True,Yard,Under_Maintenance,False
Vande Bharat,Train_13501,13501,83,True,2025-09-11 10:24:00,2025-09-11 11:47:00,65,2.5,0,72,10,1734,84,88,True,STN_48,5,STN_48,6,5,False,False,Yard,Free,True
Vande Bharat,Train_22513,22513,2,True,2025-09-11 10:37:00,2025-09-11 13:58:00,56,1.57,0,40,42,380,3,4,True,STN_27,11,STN_27,11,6,False,True,Yard,Occupied,True
Superfast,Train_12828,12828,109,True,2025-09-11 10:58:00,2025-09-11 13:53:00,50,8.37,0,55,34,2553,110,113,True,STN_15,2,STN_15,9,4,False,False,Loop,Free,False
Shatabdi,Train_14063,14063,192,True,2025-09-11 10:08:00,2025-09-11 13:07:00,30,13.64,0,77,29,1205,193,195,True,STN_16,1,STN_16,4,3,True,True,Loop,Under_Maintenance,False
Shatabdi,Train_13124,13124,23,True,2025-09-11 10:30:00,2025-09-11 10:34:00,52,4.16,0,74,11,1473,24,26,True,STN_23,5,STN_23,7,1,True,False,Loop,Under_Maintenance,False
Express,Train_21607,21607,19,True,2025-09-11 10:10:00,2025-09-11 13:23:00,42,8.61,0,61,26,1619,20,23,True,STN_16,4,STN_16,4,3,True,True,Yard,Free,True
Express,Train_17383,17383,162,False,2025-09-11 10:12:00,2025-09-11 11:55:00,64,21.65,41,73,20,973,163,163,True,STN_20,7,STN_20,10,10,True,True,Main,Under_Maintenance,True
Express,Train_16542,16542,173,True,2025-09-11 10:11:00,2025-09-11 11:24:00,72,11.87,67,60,0,1526,174,178,True,STN_36,1,STN_36,5,3,True,False,Loop,Occupied,True
Superfast,Train_20850,20850,194,True,2025-09-11 10:34:00,2025-09-11 14:53:00,54,9.45,110,26,54,439,195,195,True,STN_40,6,STN_40,11,3,False,False,Yard,Occupied,False
Vande Bharat,Train_13801,13801,129,True,2025-09-11 10:52:00,2025-09-11 10:57:00,61,8.74,5,32,50,1282,130,132,True,STN_49,10,STN_49,12,12,False,True,Loop,Free,True
Passenger,Train_14159,14159,23,False,2025-09-11 10:26:00,2025-09-11 13:11:00,50,7.1,43,61,24,489,24,27,False,STN_10,1,STN_10,5,3,True,True,Loop,Under_Maintenance,False
Shatabdi,Train_15898,15898,122,True,2025-09-11 10:11:00,2025-09-11 14:00:00,53,11.93,67,52,14,1446,123,124,False,STN_29,7,STN_29,9,7,True,False,Loop,Free,True
Express,Train_12258,12258,140,False,2025-09-11 10:09:00,2025-09-11 10:32:00,46,9.56,93,77,9,1387,141,143,False,STN_20,6,STN_20,10,10,True,True,Yard,Free,False
Express,Train_12858,12858,3,True,2025-09-11 10:18:00,2025-09-11 11:44:00,80,8.32,0,60,2,1065,4,4,False,STN_50,5,STN_50,6,2,True,False,Main,Free,True
Passenger,Train_20619,20619,153,False,2025-09-11 10:33:00,2025-09-11 11:54:00,30,14.39,68,122,35,1252,154,154,True,STN_49,5,STN_49,12,12,False,True,Yard,Under_Maintenance,False
Rajdhani,Train_19802,19802,54,False,2025-09-11 10:02:00,2025-09-11 10:38:00,59,2.12,0,108,26,1201,55,59,False,STN_38,3,STN_38,11,0,True,True,Main,Occupied,True
Shatabdi,Train_20408,20408,42,True,2025-09-11 10:55:00,2025-09-11 13:45:00,48,12.14,0,41,39,1611,43,45,True,STN_50,2,STN_50,6,2,True,False,Main,Free,True
Shatabdi,Train_19405,19405,30,True,2025-09-11 10:49:00,2025-09-11 11:52:00,56,8.82,102,53,51,1021,31,35,True,STN_38,1,STN_38,11,0,True,True,Loop,Under_Maintenance,True
Passenger,Train_22077,22077,193,False,2025-09-11 10:16:00,2025-09-11 10:43:00,72,17.3,96,78,35,1795,194,194,False,STN_17,5,STN_17,8,3,True,True,Yard,Occupied,True
Vande Bharat,Train_19504,19504,172,True,2025-09-11 10:19:00,2025-09-11 11:59:00,58,21.04,0,64,6,527,173,174,True,STN_37,6,STN_37,7,5,False,False,Loop,Under_Maintenance,True
Rajdhani,Train_12996,12996,149,False,2025-09-11 10:13:00,2025-09-11 11:58:00,52,0.29,15,114,22,1841,150,151,False,STN_18,3,STN_18,3,1,True,True,Loop,Occupied,True
Vande Bharat,Train_18984,18984,168,True,2025-09-11 10:28:00,2025-09-11 14:02:00,44,8.78,0,88,18,1161,169,173,True,STN_37,1,STN_37,7,5,False,False,Yard,Free,True
Vande Bharat,Train_20032,20032,50,False,2025-09-11 10:05:00,2025-09-11 10:10:00,70,2.38,55,60,28,2066,51,53,False,STN_16,3,STN_16,4,3,True,True,Loop,Occupied,True
Passenger,Train_13204,13204,178,True,2025-09-11 10:07:00,2025-09-11 11:07:00,69,7.85,75,116,36,1291,179,181,False,STN_43,6,STN_43,12,5,False,False,Loop,Under_Maintenance,False
Express,Train_21966,21966,110,True,2025-09-11 10:24:00,2025-09-11 10:56:00,88,5.54,0,45,20,1472,111,112,True,STN_21,4,STN_21,10,4,False,True,Main,Occupied,False
Superfast,Train_14067,14067,183,False,2025-09-11 10:00:00,2025-09-11 14:37:00,102,5.66,1,23,53,1491,184,186,False,STN_15,3,STN_15,9,4,False,False,Loop,Occupied,True
Shatabdi,Train_18240,18240,174,False,2025-09-11 10:04:00,2025-09-11 13:05:00,40,0.58,53,94,29,1177,175,178,False,STN_8,3,STN_8,6,2,False,False,Loop,Under_Maintenance,False
Shatabdi,Train_19433,19433,199,False,2025-09-11 10:05:00,2025-09-11 12:34:00,10,10.43,55,85,35,2710,200,200,False,STN_39,2,STN_39,6,5,False,False,Loop,Occupied,False
Vande Bharat,Train_13624,13624,166,True,2025-09-11 10:02:00,2025-09-11 12:18:00,46,15.63,2,55,54,909,167,168,True,STN_2,5,STN_2,6,0,False,False,Yard,Occupied,False
Vande Bharat,Train_22726,22726,51,False,2025-09-11 10:15:00,2025-09-11 12:10:00,53,11.14,118,53,56,1226,52,52,True,STN_33,6,STN_33,6,6,True,False,Loop,Free,False
Rajdhani,Train_19046,19046,20,True,2025-09-11 10:21:00,2025-09-11 12:29:00,74,6.55,60,64,40,1976,21,21,True,STN_43,10,STN_43,12,5,False,False,Main,Under_Maintenance,True
Superfast,Train_18779,18779,149,False,2025-09-11 10:01:00,2025-09-11 10:04:00,52,13.68,82,58,13,942,150,150,False,STN_7,9,STN_7,9,6,True,False,Loop,Occupied,True
Rajdhani,Train_18532,18532,67,False,2025-09-11 10:09:00,2025-09-11 13:00:00,68,0.99,98,62,49,1971,68,69,True,STN_43,6,STN_43,12,5,False,False,Yard,Under_Maintenance,False
Rajdhani,Train_17120,17120,101,True,2025-09-11 10:14:00,2025-09-11 11:40:00,31,3.66,81,71,46,1143,102,104,False,STN_49,3,STN_49,12,12,False,True,Yard,Under_Maintenance,True
Superfast,Train_22897,22897,119,True,2025-09-11 11:01:00,2025-09-11 13:49:00,59,12.57,32,32,23,1812,120,124,False,STN_34,1,STN_34,10,3,False,False,Yard,Under_Maintenance,True
Vande Bharat,Train_14500,14500,170,True,2025-09-11 10:09:00,2025-09-11 11:41:00,45,18.12,88,52,43,1081,171,172,False,STN_21,9,STN_21,10,4,False,True,Yard,Under_Maintenance,True
Passenger,Train_13099,13099,36,False,2025-09-11 10:09:00,2025-09-11 12:11:00,48,8.13,0,125,11,1583,37,41,True,STN_33,5,STN_33,6,6,True,False,Loop,Under_Maintenance,False
Rajdhani,Train_13527,13527,169,True,2025-09-11 10:54:00,2025-09-11 12:11:00,37,15.32,119,63,46,1411,170,173,True,STN_42,3,STN_42,6,3,True,False,Loop,Under_Maintenance,False
Express,Train_18105,18105,11,True,2025-09-11 10:10:00,2025-09-11 13:09:00,78,9.25,55,60,14,865,12,12,True,STN_50,3,STN_50,6,2,True,False,Loop,Occupied,True
Shatabdi,Train_21608,21608,95,True,2025-09-11 10:19:00,2025-09-11 11:45:00,59,7.71,0,96,42,1515,96,97,False,STN_49,9,STN_49,12,12,False,True,Loop,Occupied,False
Passenger,Train_22977,22977,93,False,2025-09-11 10:04:00,2025-09-11 11:52:00,72,5.27,51,190,58,1213,94,97,False,STN_10,1,STN_10,5,3,True,True,Main,Occupied,True
Vande Bharat,Train_17793,17793,11,False,2025-09-11 10:22:00,2025-09-11 11:40:00,57,5.01,0,19,45,1817,12,16,False,STN_13,3,STN_13,3,2,False,False,Loop,Occupied,True
Superfast,Train_12842,12842,71,False,2025-09-11 10:39:00,2025-09-11 12:38:00,79,5.05,79,39,34,693,72,76,False,STN_43,3,STN_43,12,5,False,False,Yard,Under_Maintenance,True
Passenger,Train_17761,17761,97,False,2025-09-11 10:14:00,2025-09-11 11:46:00,30,2.4,24,98,37,2350,98,98,True,STN_32,9,STN_32,10,6,False,False,Main,Free,False
Vande Bharat,Train_14535,14535,65,False,2025-09-11 10:31:00,2025-09-11 13:31:00,59,1.54,0,20,33,1067,66,69,False,STN_24,6,STN_24,12,10,False,False,Main,Under_Maintenance,True
Passenger,Train_15674,15674,89,False,2025-09-11 10:21:00,2025-09-11 11:32:00,59,10.24,54,159,56,1007,90,94,False,STN_15,1,STN_15,9,4,False,False,Main,Occupied,True
Superfast,Train_21113,21113,129,True,2025-09-11 10:24:00,2025-09-11 14:23:00,87,16.46,43,53,10,1156,130,131,True,STN_37,1,STN_37,7,5,False,False,Loop,Free,True
Shatabdi,Train_16564,16564,132,False,2025-09-11 10:13:00,2025-09-11 11:44:00,41,10.63,0,102,9,714,133,134,True,STN_41,3,STN_41,10,0,True,False,Yard,Under_Maintenance,False
Shatabdi,Train_19030,19030,93,True,2025-09-11 10:08:00,2025-09-11 12:04:00,47,11.47,100,75,14,1630,94,97,True,STN_29,6,STN_29,9,7,True,False,Main,Occupied,True
Vande Bharat,Train_21977,21977,185,True,2025-09-11 10:24:00,2025-09-11 14:08:00,51,14.35,54,37,43,592,186,189,False,STN_50,4,STN_50,6,2,True,False,Loop,Occupied,True
Express,Train_12474,12474,54,True,2025-09-11 10:21:00,2025-09-11 11:58:00,33,5.26,96,60,53,914,55,58,False,STN_42,1,STN_42,6,3,True,False,Main,Occupied,True
Superfast,Train_17062,17062,63,True,2025-09-11 10:08:00,2025-09-11 13:05:00,49,4.96,0,51,36,249,64,68,False,STN_47,2,STN_47,4,4,True,True,Yard,Free,False
Express,Train_12100,12100,35,True,2025-09-11 10:23:00,2025-09-11 11:51:00,48,14.55,77,71,9,1791,36,36,True,STN_33,2,STN_33,6,6,True,False,Main,Under_Maintenance,False
Vande Bharat,Train_21278,21278,67,True,2025-09-11 10:00:00,2025-09-11 10:22:00,45,12.65,63,33,25,1489,68,72,False,STN_35,1,STN_35,8,0,False,False,Yard,Under_Maintenance,False
Express,Train_13140,13140,185,False,2025-09-11 10:06:00,2025-09-11 14:18:00,60,0.29,0,85,13,619,186,189,True,STN_22,10,STN_22,12,9,True,True,Loop,Occupied,True
Vande Bharat,Train_13503,13503,121,False,2025-09-11 10:28:00,2025-09-11 13:17:00,65,10.65,0,21,14,1068,122,125,True,STN_20,10,STN_20,10,10,True,True,Yard,Free,True
Rajdhani,Train_18163,18163,37,True,2025-09-11 10:06:00,2025-09-11 13:02:00,77,1.73,90,120,42,1051,38,42,False,STN_21,5,STN_21,10,4,False,True,Main,Occupied,True
Express,Train_17585,17585,43,False,2025-09-11 10:13:00,2025-09-11 12:15:00,72,23.52,47,113,38,1395,44,48,False,STN_36,1,STN_36,5,3,True,False,Main,Under_Maintenance,True
Vande Bharat,Train_17105,17105,59,False,2025-09-11 10:18:00,2025-09-11 11:54:00,73,3.05,29,40,8,2323,60,60,False,STN_14,1,STN_14,6,3,False,False,Main,Under_Maintenance,True
Shatabdi,Train_21299,21299,52,False,2025-09-11 10:08:00,2025-09-11 12:09:00,47,4.26,0,80,38,1018,53,53,True,STN_4,1,STN_4,3,1,False,False,Yard,Free,True
Express,Train_12861,12861,122,True,2025-09-11 10:20:00,2025-09-11 11:29:00,49,4.19,67,67,32,739,123,123,True,STN_44,2,STN_44,9,8,False,False,Loop,Free,True
Passenger,Train_22122,22122,124,True,2025-09-11 10:05:00,2025-09-11 10:13:00,41,17.59,85,90,34,1076,125,125,True,STN_23,7,STN_23,7,1,True,False,Loop,Occupied,True
Rajdhani,Train_16458,16458,174,False,2025-09-11 10:10:00,2025-09-11 10:18:00,81,2.37,64,117,26,1767,175,177,False,STN_42,1,STN_42,6,3,True,False,Loop,Under_Maintenance,False
Shatabdi,Train_19957,19957,179,False,2025-09-11 10:23:00,2025-09-11 12:49:00,19,6.72,0,125,60,2026,180,183,False,STN_10,4,STN_10,5,3,True,True,Main,Free,False
Superfast,Train_18785,18785,90,True,2025-09-11 10:13:00,2025-09-11 12:37:00,50,11.08,39,60,8,828,91,93,True,STN_11,8,STN_11,9,9,True,True,Main,Under_Maintenance,True
Passenger,Train_20394,20394,197,True,2025-09-11 10:50:00,2025-09-11 13:05:00,45,0.31,0,191,18,886,198,200,False,STN_19,9,STN_19,12,2,True,True,Loop,Occupied,True
Passenger,Train_19043,19043,105,False,2025-09-11 10:05:00,2025-09-11 11:34:00,35,7.5,0,109,0,1208,106,106,False,STN_11,9,STN_11,9,9,True,True,Main,Under_Maintenance,True
Rajdhani,Train_21717,21717,31,True,2025-09-11 10:25:00,2025-09-11 11:55:00,77,6.27,27,69,41,884,32,33,False,STN_19,12,STN_19,12,2,True,True,Yard,Occupied,True
Express,Train_12744,12744,81,False,2025-09-11 10:21:00,2025-09-11 13:06:00,71,19.52,23,90,6,1577,82,83,False,STN_30,7,STN_30,8,7,True,False,Yard,Occupied,False
Passenger,Train_21819,21819,167,False,2025-09-11 10:23:00,2025-09-11 12:13:00,64,4.75,0,131,54,1012,168,172,True,STN_44,7,STN_44,9,8,False,False,Loop,Occupied,False
Superfast,Train_15349,15349,145,False,2025-09-11 10:13:00,2025-09-11 13:04:00,96,19.9,87,37,17,1405,146,149,True,STN_21,4,STN_21,10,4,False,True,Yard,Under_Maintenance,True
Superfast,Train_14248,14248,106,False,2025-09-11 10:32:00,2025-09-11 12:30:00,50,4.24,0,10,23,910,107,111,False,STN_1,5,STN_1,5,1,False,True,Yard,Under_Maintenance,True
Passenger,Train_17375,17375,124,False,2025-09-11 10:39:00,2025-09-11 14:47:00,51,22.82,9,200,36,851,125,127,True,STN_34,7,STN_34,10,3,False,False,Loop,Occupied,True
Vande Bharat,Train_20149,20149,189,True,2025-09-11 10:00:00,2025-09-11 12:53:00,51,14.23,99,65,7,1782,190,191,False,STN_18,2,STN_18,3,1,True,True,Main,Under_Maintenance,True
Express,Train_14878,14878,180,True,2025-09-11 10:26:00,2025-09-11 13:13:00,66,12.9,0,85,13,870,181,185,False,STN_39,4,STN_39,6,5,False,False,Main,Free,True
Vande Bharat,Train_20725,20725,87,True,2025-09-11 10:27:00,2025-09-11 12:02:00,69,9.16,0,68,24,1296,88,88,True,STN_15,2,STN_15,9,4,False,False,Main,Occupied,True
Shatabdi,Train_20196,20196,38,False,2025-09-11 10:34:00,2025-09-11 13:15:00,51,3.89,84,79,27,439,39,39,False,STN_19,2,STN_19,12,2,True,True,Main,Under_Maintenance,False
Rajdhani,Train_13180,13180,68,True,2025-09-11 10:26:00,2025-09-11 12:18:00,37,10.39,25,92,5,2226,69,73,True,STN_11,1,STN_11,9,9,True,True,Loop,Under_Maintenance,False
Passenger,Train_19147,19147,186,False,2025-09-11 10:47:00,2025-09-11 14:06:00,62,13.67,33,95,39,1054,187,191,False,STN_33,3,STN_33,6,6,True,False,Main,Under_Maintenance,True
Superfast,Train_13275,13275,183,True,2025-09-11 10:01:00,2025-09-11 11:22:00,68,6.44,0,43,40,830,184,187,False,STN_47,4,STN_47,4,4,True,True,Loop,Occupied,True
Rajdhani,Train_21394,21394,3,True,2025-09-11 10:00:00,2025-09-11 11:51:00,50,1.44,99,129,59,873,4,8,False,STN_20,5,STN_20,10,10,True,True,Main,Free,True
Passenger,Train_16743,16743,50,True,2025-09-11 10:27:00,2025-09-11 12:34:00,42,9.48,84,139,32,2049,51,55,False,STN_27,4,STN_27,11,6,False,True,Loop,Occupied,True
Superfast,Train_12341,12341,158,True,2025-09-11 10:45:00,2025-09-11 11:35:00,47,16.23,103,55,2,1471,159,161,True,STN_9,1,STN_9,3,3,False,False,Loop,Under_Maintenance,False
Rajdhani,Train_22127,22127,168,True,2025-09-11 10:07:00,2025-09-11 13:17:00,69,6.83,0,117,5,1673,169,171,False,STN_19,7,STN_19,12,2,True,True,Yard,Free,True
Rajdhani,Train_13443,13443,91,False,2025-09-11 10:45:00,2025-09-11 13:04:00,60,8.71,34,79,37,564,92,93,True,STN_14,5,STN_14,6,3,False,False,Main,Free,True
Rajdhani,Train_15986,15986,4,True,2025-09-11 10:13:00,2025-09-11 13:43:00,74,1.97,0,95,35,775,5,7,False,STN_41,9,STN_41,10,0,True,False,Yard,Under_Maintenance,True
Passenger,Train_20584,20584,150,False,2025-09-11 10:31:00,2025-09-11 14:17:00,58,13.81,19,112,52,1018,151,153,False,STN_29,4,STN_29,9,7,True,False,Main,Free,True
Vande Bharat,Train_17083,17083,156,True,2025-09-11 10:11:00,2025-09-11 13:10:00,55,9.31,47,59,59,987,157,160,False,STN_47,1,STN_47,4,4,True,True,Main,Under_Maintenance,False
Superfast,Train_15630,15630,67,True,2025-09-11 10:29:00,2025-09-11 12:38:00,66,6.39,35,15,32,2095,68,68,True,STN_29,9,STN_29,9,7,True,False,Yard,Under_Maintenance,False
Shatabdi,Train_13251,13251,19,False,2025-09-11 10:24:00,2025-09-11 11:22:00,53,14.65,18,39,60,1827,20,20,True,STN_44,9,STN_44,9,8,False,False,Yard,Free,True
Shatabdi,Train_20693,20693,66,False,2025-09-11 10:36:00,2025-09-11 11:36:00,76,13.46,108,76,28,660,67,70,True,STN_36,5,STN_36,5,3,True,False,Yard,Occupied,False
Superfast,Train_17724,17724,124,True,2025-09-11 10:36:00,2025-09-11 15:05:00,56,13.65,17,50,49,1785,125,128,True,STN_1,4,STN_1,5,1,False,True,Loop,Occupied,True
Passenger,Train_15871,15871,151,True,2025-09-11 10:36:00,2025-09-11 14:26:00,56,0.21,54,127,7,1250,152,154,True,STN_5,2,STN_5,12,11,True,False,Loop,Occupied,False
Express,Train_16193,16193,98,True,2025-09-11 10:04:00,2025-09-11 12:05:00,85,14.29,104,43,44,1323,99,100,True,STN_11,6,STN_11,9,9,True,True,Main,Free,True
Express,Train_21869,21869,106,False,2025-09-11 10:00:00,2025-09-11 11:32:00,62,11.29,63,75,34,2036,107,107,True,STN_39,6,STN_39,6,5,False,False,Yard,Under_Maintenance,True
Vande Bharat,Train_14902,14902,68,True,2025-09-11 10:28:00,2025-09-11 12:16:00,57,14.48,4,50,5,1402,69,72,False,STN_16,3,STN_16,4,3,True,True,Loop,Under_Maintenance,False
Shatabdi,Train_19601,19601,20,True,2025-09-11 10:36:00,2025-09-11 11:56:00,82,5.19,52,80,20,1075,21,23,False,STN_23,2,STN_23,7,1,True,False,Main,Under_Maintenance,True
Vande Bharat,Train_21248,21248,147,False,2025-09-11 10:01:00,2025-09-11 12:13:00,67,3.87,0,36,60,1794,148,149,False,STN_27,8,STN_27,11,6,False,True,Loop,Free,False
Superfast,Train_22276,22276,189,True,2025-09-11 10:47:00,2025-09-11 14:49:00,56,11.45,0,55,47,1548,190,191,True,STN_17,5,STN_17,8,3,True,True,Main,Under_Maintenance,True
Passenger,Train_19205,19205,53,True,2025-09-11 10:05:00,2025-09-11 11:08:00,81,10.42,0,182,53,1162,54,55,False,STN_27,10,STN_27,11,6,False,True,Yard,Occupied,True
Vande Bharat,Train_19245,19245,92,True,2025-09-11 10:05:00,2025-09-11 11:09:00,38,11.81,0,59,7,1219,93,93,False,STN_47,4,STN_47,4,4,True,True,Loop,Occupied,False
Shatabdi,Train_16500,16500,158,True,2025-09-11 10:46:00,2025-09-11 13:45:00,31,6.5,69,77,2,2223,159,162,True,STN_12,6,STN_12,9,2,False,True,Loop,Under_Maintenance,False
Shatabdi,Train_17766,17766,159,False,2025-09-11 10:16:00,2025-09-11 12:55:00,66,1.33,57,84,57,814,160,164,True,STN_35,5,STN_35,8,0,False,False,Loop,Under_Maintenance,True
Rajdhani,Train_17085,17085,126,True,2025-09-11 10:06:00,2025-09-11 10:32:00,90,5.11,61,83,17,944,127,130,False,STN_1,2,STN_1,5,1,False,True,Yard,Under_Maintenance,False
Passenger,Train_12616,12616,193,True,2025-09-11 10:18:00,2025-09-11 11:02:00,55,14.51,0,117,33,902,194,197,False,STN_21,8,STN_21,10,4,False,True,Yard,Occupied,True
Passenger,Train_16703,16703,139,True,2025-09-11 10:03:00,2025-09-11 12:26:00,61,4.7,59,117,22,1144,140,143,True,STN_24,11,STN_24,12,10,False,False,Loop,Free,True
Shatabdi,Train_22076,22076,199,True,2025-09-11 10:37:00,2025-09-11 11:31:00,41,8.62,48,58,7,1695,200,200,False,STN_33,4,STN_33,6,6,True,False,Loop,Occupied,False
Shatabdi,Train_19581,19581,81,True,2025-09-11 10:14:00,2025-09-11 11:51:00,91,2.17,0,100,43,1612,82,83,True,STN_30,7,STN_30,8,7,True,False,Yard,Occupied,False
Shatabdi,Train_19368,19368,149,True,2025-09-11 10:15:00,2025-09-11 13:45:00,43,14.02,14,30,23,2006,150,154,True,STN_39,3,STN_39,6,5,False,False,Loop,Occupied,True
Shatabdi,Train_17267,17267,48,False,2025-09-11 10:16:00,2025-09-11 12:27:00,46,8.28,0,67,17,554,49,52,False,STN_24,10,STN_24,12,10,False,False,Yard,Under_Maintenance,False
Express,Train_20214,20214,88,False,2025-09-11 10:03:00,2025-09-11 11:16:00,66,18.54,0,77,31,1292,89,92,True,STN_17,4,STN_17,8,3,True,True,Loop,Occupied,True
Passenger,Train_19381,19381,108,False,2025-09-11 10:00:00,2025-09-11 11:19:00,55,1.2,24,161,54,1688,109,112,False,STN_40,5,STN_40,11,3,False,False,Yard,Under_Maintenance,False
Shatabdi,Train_13381,13381,116,True,2025-09-11 10:00:00,2025-09-11 12:56:00,75,11.03,77,68,8,2295,117,121,True,STN_37,6,STN_37,7,5,False,False,Loop,Free,True
Express,Train_12641,12641,59,True,2025-09-11 10:27:00,2025-09-11 12:10:00,72,15.65,115,40,17,2636,60,61,False,STN_44,9,STN_44,9,8,False,False,Main,Under_Maintenance,True
Shatabdi,Train_19199,19199,111,False,2025-09-11 10:17:00,2025-09-11 13:02:00,57,10.35,0,80,9,2123,112,113,True,STN_8,4,STN_8,6,2,False,False,Main,Under_Maintenance,False
Superfast,Train_17962,17962,3,True,2025-09-11 10:01:00,2025-09-11 12:57:00,16,1.79,38,49,31,373,4,5,False,STN_13,3,STN_13,3,2,False,False,Main,Free,True
Rajdhani,Train_18347,18347,133,False,2025-09-11 10:43:00,2025-09-11 10:59:00,80,8.12,55,126,19,1866,134,136,False,STN_2,5,STN_2,6,0,False,False,Yard,Free,True
Passenger,Train_21795,21795,146,True,2025-09-11 10:34:00,2025-09-11 11:00:00,87,0.47,32,76,6,1665,147,148,False,STN_45,1,STN_45,10,4,False,False,Loop,Free,True
Superfast,Train_13079,13079,56,False,2025-09-11 10:17:00,2025-09-11 11:44:00,72,12.31,52,38,53,1339,57,57,True,STN_49,8,STN_49,12,12,False,True,Yard,Occupied,False
Vande Bharat,Train_21141,21141,191,False,2025-09-11 10:07:00,2025-09-11 13:40:00,68,11.36,0,19,23,656,192,194,False,STN_24,9,STN_24,12,10,False,False,Loop,Under_Maintenance,False
Superfast,Train_16655,16655,143,False,2025-09-11 10:07:00,2025-09-11 12:21:00,45,11.76,19,45,1,1375,144,147,True,STN_3,2,STN_3,8,8,False,False,Loop,Free,True
Passenger,Train_17461,17461,90,True,2025-09-11 10:28:00,2025-09-11 10:31:00,64,11.2,78,106,36,2146,91,95,True,STN_45,3,STN_45,10,4,False,False,Main,Under_Maintenance,True
Superfast,Train_17731,17731,200,False,2025-09-11 10:31:00,2025-09-11 11:28:00,77,1.05,21,29,20,1474,199,200,False,STN_23,4,STN_23,7,1,True,False,Yard,Free,True
Shatabdi,Train_14112,14112,199,False,2025-09-11 10:24:00,2025-09-11 10:49:00,65,8.2,0,74,24,2073,200,200,True,STN_29,5,STN_29,9,7,True,False,Loop,Occupied,False
Shatabdi,Train_17072,17072,119,True,2025-09-11 10:38:00,2025-09-11 12:10:00,54,1.04,0,82,40,1509,120,122,False,STN_28,7,STN_28,11,10,False,True,Yard,Under_Maintenance,True
Superfast,Train_22542,22542,162,False,2025-09-11 10:33:00,2025-09-11 13:33:00,68,0.94,0,42,5,1214,163,164,True,STN_3,6,STN_3,8,8,False,False,Main,Under_Maintenance,True
Vande Bharat,Train_22979,22979,59,False,2025-09-11 10:39:00,2025-09-11 15:20:00,64,1.14,12,53,41,1134,60,62,True,STN_42,6,STN_42,6,3,True,False,Main,Under_Maintenance,True
Vande Bharat,Train_22584,22584,69,False,2025-09-11 10:07:00,2025-09-11 11:55:00,64,11.38,0,59,56,1487,70,73,False,STN_9,2,STN_9,3,3,False,False,Main,Free,True
Superfast,Train_20331,20331,192,False,2025-09-11 10:34:00,2025-09-11 11:57:00,52,5.06,36,67,10,1258,193,194,True,STN_12,1,STN_12,9,2,False,True,Loop,Under_Maintenance,False
Superfast,Train_17940,17940,33,True,2025-09-11 10:03:00,2025-09-11 11:25:00,35,3.83,100,45,16,1371,34,34,True,STN_5,4,STN_5,12,11,True,False,Loop,Occupied,True
Superfast,Train_15509,15509,43,False,2025-09-11 10:00:00,2025-09-11 11:30:00,76,18.55,0,44,6,2313,44,44,False,STN_5,8,STN_5,12,11,True,False,Main,Under_Maintenance,True
Express,Train_15145,15145,141,True,2025-09-11 10:53:00,2025-09-11 13:00:00,45,5.46,0,62,49,620,142,145,True,STN_10,5,STN_10,5,3,True,True,Yard,Occupied,True
